step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
111,3.552,STOP,-4.5275234228370104e-11,1.9312611944574006e-18,-3.789980833019377e-07,-3.807810644573806e-07,-11.560902665836874,11.560903397001002,-7.638334409421076e-17,5.76478068635553e-16
112,3.584,STOP,-4.5275234228370104e-11,1.9312611944574006e-18,-3.7908723126440144e-07,-3.807810644573806e-07,-11.560902665836878,11.560903397001006,0.0,1.152956137271106e-15
113,3.616,STOP,-4.5275234228370104e-11,1.9312611944574006e-18,-3.791719229240503e-07,-3.807810644573806e-07,-11.560902665836878,11.560903397001006,0.0,0.0
114,3.648,RIGHT,-4.5275234228370104e-11,1.9312611944574006e-18,-3.792523789054084e-07,-3.807810644573806e-07,-11.560902665836881,11.56090339700101,0.0,1.152956137271106e-15
115,3.68,RIGHT,6.493861364163846e-10,-2.870931280212548e-11,-0.04130499704555894,-0.038097143495253505,-11.433106546987947,11.433107310489488,6.952543740376682e-10,-0.041473452190564516
116,3.712,RIGHT,1.1815864990089665e-09,-7.271017773402991e-11,-0.08248964265324078,-0.07700525944615588,-11.305310908997022,11.305311697336526,5.340162001835069e-10,-0.041473297355423155
117,3.744,RIGHT,1.5893315049178253e-09,-1.2336553157266088e-10,-0.12359964736003352,-0.11669359129079382,-11.17751470693431,11.177515514384488,4.108794892862533e-10,-0.041473481342015873
118,3.7760000000000002,RIGHT,1.8908283012916955e-09,-1.7346902255309237e-10,-0.16467755814317617,-0.15715516139244645,-11.04971744405422,11.049718265719822,3.0563160509367027e-10,-0.04147382640160209
119,3.8080000000000003,RIGHT,2.1068961004818532e-09,-2.185661872863588e-10,-0.20576369743909287,-0.1983901520150888,-10.921918968362782,10.921919800294612,2.2072391830940674e-10,-0.041474220634022174
120,3.84,RIGHT,2.254406538528425e-09,-2.5574454897282675e-10,-0.24689666160541243,-0.24040566956649867,-10.794119339691775,10.794120178699117,1.521235021631484e-10,-0.041474595326262416
121,3.872,RIGHT,2.3468900015741888e-09,-2.8315292435750225e-10,-0.28811377264940574,-0.28321557003987907,-10.666318739040927,10.66631958253475,9.6459369571672e-11,-0.0414749111813368
122,3.904,RIGHT,2.3952618956095226e-09,-2.9969186146465153e-10,-0.3294514953431321,-0.32684040800870484,-10.538517408655895,10.53851825452745,5.112119495082057e-11,-0.04147514834290675
123,3.936,RIGHT,2.408399663614722e-09,-3.0480181844909246e-10,-0.3709458332003331,-0.3713075666865633,-10.410715614119283,10.41071646064649,1.409654597911425e-11,-0.041475299252662516
124,3.968,RIGHT,2.393597291962944e-09,-2.9832186048309185e-10,-0.412632718048106,-0.41665162186327276,-10.282913622024124,10.282914467799769,-1.615859095832617e-11,-0.04147536359434305
125,4.0,RIGHT,2.3569177666491645e-09,-2.803974126705181e-10,-0.45454840948956426,-0.4629149966298738,-10.155111688569892,10.155112532446704,-4.082491159365653e-11,-0.041475344749863
126,4.032,RIGHT,2.303470953908306e-09,-2.514258181462317e-10,-0.49672992285975337,-0.5101489777093386,-10.027310055783119,10.0273108968323,-6.079403820635765e-11,-0.041475247325474085
127,4.064,RIGHT,2.244373267047827e-09,-2.160696603254482e-10,-0.5391437876885911,-0.5569677906462956,-9.899506845249165,9.899507683095255,-6.886649757398278e-11,-0.04147575941001115
128,4.096,RIGHT,2.1640611599100506e-09,-1.632530701973168e-10,-0.5817284930194623,-0.6027857394367956,-9.771701571450102,9.771702404825355,-9.612297719938101e-11,-0.04147642920364317
129,4.128,RIGHT,2.0621478934875852e-09,-8.981276764446343e-11,-0.6244284448625632,-0.6476656677409987,-9.643894724024301,9.643895551556874,-1.2561764172261403e-10,-0.041476940112657006
130,4.16,RIGHT,1.9453207258211214e-09,2.2115549162816034e-12,-0.6671935032839874,-0.691660349370854,-9.51608667672469,9.516087497340143,-1.487180656400966e-10,-0.04147732968001018
131,4.192,RIGHT,1.8192058443954999e-09,1.1060614586764821e-10,-0.7099782712688233,-0.7348139435898979,-9.388277712636981,9.388278525517737,-1.6629597308567834e-10,-0.041477627336358236
132,4.224,RIGHT,1.6882990980437701e-09,2.332304672536323e-10,-0.7527414931761313,-0.7771634393735225,-9.260468043270421,9.260468847808426,-1.7936917359392957e-10,-0.04147785631797159
133,4.256,RIGHT,1.5561643792871165e-09,3.6804744087141695e-10,-0.7954455415540065,-0.818739797677621,-9.132657823847854,9.132658619605724,-1.8877288014002014e-10,-0.04147803489768512
134,4.288,RIGHT,1.4256011757779996e-09,5.131394776839488e-10,-0.8380559763521026,-0.8595688691860259,-9.004847165836672,9.00484795251602,-1.9518824057040973e-10,-0.041478177280521174
135,4.32,RIGHT,1.2987802300381807e-09,6.667193940741572e-10,-0.8805411641895986,-0.899672140869223,-8.8770361472485,8.877036924663933,-1.9917415243139724e-10,-0.04147829432804195
136,4.352,RIGHT,1.1773554419305708e-09,8.271359197457029e-10,-0.9228719478951072,-0.9390673489666137,-8.749224821037934,8.74922558909569,-2.0119006157240382e-10,-0.04147839417542929
137,4.384,RIGHT,1.0625574869411952e-09,9.92873614836179e-10,-0.9650213584129276,-0.9777689857171812,-8.621413221857807,8.621413980538243,-2.0161238564048167e-10,-0.041478482764964936
